Mean,SD,par,file,trait,type,treatment
0.003952,5.78e-4,ResVar,microbe_from_Mike/HN/asv_000160.parRes,asv_000160,microbe_from_Mike,HN
2.51e-4,4.22e-4,GenVar,microbe_from_Mike/HN/asv_000160.parRes,asv_000160,microbe_from_Mike,HN
0.059637,0.099347,hsq,microbe_from_Mike/HN/asv_000160.parRes,asv_000160,microbe_from_Mike,HN
5.91e-4,6.19e-4,Pi,microbe_from_Mike/HN/asv_000162.parRes,asv_000162,microbe_from_Mike,HN
492.979889,516.062805,NnzSnp,microbe_from_Mike/HN/asv_000162.parRes,asv_000162,microbe_from_Mike,HN
3.4e-5,4.5e-5,SigmaSq,microbe_from_Mike/HN/asv_000162.parRes,asv_000162,microbe_from_Mike,HN
0.404113,0.744886,S,microbe_from_Mike/HN/asv_000162.parRes,asv_000162,microbe_from_Mike,HN
0.019914,0.002915,ResVar,microbe_from_Mike/HN/asv_000162.parRes,asv_000162,microbe_from_Mike,HN
0.001583,0.002164,GenVar,microbe_from_Mike/HN/asv_000162.parRes,asv_000162,microbe_from_Mike,HN
0.073571,0.099402,hsq,microbe_from_Mike/HN/asv_000162.parRes,asv_000162,microbe_from_Mike,HN
0.001079,8.77e-4,Pi,microbe_from_Mike/HN/asv_000183.parRes,asv_000183,microbe_from_Mike,HN
899.39447,731.2854,NnzSnp,microbe_from_Mike/HN/asv_000183.parRes,asv_000183,microbe_from_Mike,HN
8.9e-5,1.63e-4,SigmaSq,microbe_from_Mike/HN/asv_000183.parRes,asv_000183,microbe_from_Mike,HN
0.059533,0.719043,S,microbe_from_Mike/HN/asv_000183.parRes,asv_000183,microbe_from_Mike,HN
0.023533,0.007478,ResVar,microbe_from_Mike/HN/asv_000183.parRes,asv_000183,microbe_from_Mike,HN
0.008809,0.007228,GenVar,microbe_from_Mike/HN/asv_000183.parRes,asv_000183,microbe_from_Mike,HN
0.271878,0.219767,hsq,microbe_from_Mike/HN/asv_000183.parRes,asv_000183,microbe_from_Mike,HN
7.6e-4,7.5e-4,Pi,microbe_from_Mike/HN/asv_000189.parRes,asv_000189,microbe_from_Mike,HN
633.837524,626.210571,NnzSnp,microbe_from_Mike/HN/asv_000189.parRes,asv_000189,microbe_from_Mike,HN
4e-6,6e-6,SigmaSq,microbe_from_Mike/HN/asv_000189.parRes,asv_000189,microbe_from_Mike,HN
0.105174,0.778181,S,microbe_from_Mike/HN/asv_000189.parRes,asv_000189,microbe_from_Mike,HN
0.004429,7.95e-4,ResVar,microbe_from_Mike/HN/asv_000189.parRes,asv_000189,microbe_from_Mike,HN
4.79e-4,6.65e-4,GenVar,microbe_from_Mike/HN/asv_000189.parRes,asv_000189,microbe_from_Mike,HN
0.097641,0.134246,hsq,microbe_from_Mike/HN/asv_000189.parRes,asv_000189,microbe_from_Mike,HN
9.2e-4,7.62e-4,Pi,microbe_from_Mike/HN/asv_000191.parRes,asv_000191,microbe_from_Mike,HN
767.110779,636.08313,NnzSnp,microbe_from_Mike/HN/asv_000191.parRes,asv_000191,microbe_from_Mike,HN
5.2e-5,8.7e-5,SigmaSq,microbe_from_Mike/HN/asv_000191.parRes,asv_000191,microbe_from_Mike,HN
0.27257,0.727325,S,microbe_from_Mike/HN/asv_000191.parRes,asv_000191,microbe_from_Mike,HN
0.020496,0.004183,ResVar,microbe_from_Mike/HN/asv_000191.parRes,asv_000191,microbe_from_Mike,HN
0.003871,0.003683,GenVar,microbe_from_Mike/HN/asv_000191.parRes,asv_000191,microbe_from_Mike,HN
0.158868,0.149217,hsq,microbe_from_Mike/HN/asv_000191.parRes,asv_000191,microbe_from_Mike,HN
7.7e-4,6.48e-4,Pi,microbe_from_Mike/HN/asv_000196.parRes,asv_000196,microbe_from_Mike,HN
641.807983,540.773743,NnzSnp,microbe_from_Mike/HN/asv_000196.parRes,asv_000196,microbe_from_Mike,HN
1.8e-5,2e-5,SigmaSq,microbe_from_Mike/HN/asv_000196.parRes,asv_000196,microbe_from_Mike,HN
0.57107,0.648327,S,microbe_from_Mike/HN/asv_000196.parRes,asv_000196,microbe_from_Mike,HN
0.002963,5.9e-4,ResVar,microbe_from_Mike/HN/asv_000196.parRes,asv_000196,microbe_from_Mike,HN
6.32e-4,5.19e-4,GenVar,microbe_from_Mike/HN/asv_000196.parRes,asv_000196,microbe_from_Mike,HN
0.175657,0.142167,hsq,microbe_from_Mike/HN/asv_000196.parRes,asv_000196,microbe_from_Mike,HN
7.5e-4,6.93e-4,Pi,microbe_from_Mike/HN/asv_000217.parRes,asv_000217,microbe_from_Mike,HN
625.519775,578.614136,NnzSnp,microbe_from_Mike/HN/asv_000217.parRes,asv_000217,microbe_from_Mike,HN
6e-6,7e-6,SigmaSq,microbe_from_Mike/HN/asv_000217.parRes,asv_000217,microbe_from_Mike,HN
0.208502,0.854152,S,microbe_from_Mike/HN/asv_000217.parRes,asv_000217,microbe_from_Mike,HN
0.005631,0.001042,ResVar,microbe_from_Mike/HN/asv_000217.parRes,asv_000217,microbe_from_Mike,HN
6.42e-4,8.92e-4,GenVar,microbe_from_Mike/HN/asv_000217.parRes,asv_000217,microbe_from_Mike,HN
0.102177,0.140413,hsq,microbe_from_Mike/HN/asv_000217.parRes,asv_000217,microbe_from_Mike,HN
8.35e-4,7.35e-4,Pi,microbe_from_Mike/HN/asv_000237.parRes,asv_000237,microbe_from_Mike,HN
696.748413,613.316895,NnzSnp,microbe_from_Mike/HN/asv_000237.parRes,asv_000237,microbe_from_Mike,HN
5.6e-5,7.6e-5,SigmaSq,microbe_from_Mike/HN/asv_000237.parRes,asv_000237,microbe_from_Mike,HN
0.033227,0.649007,S,microbe_from_Mike/HN/asv_000237.parRes,asv_000237,microbe_from_Mike,HN
0.020782,0.006152,ResVar,microbe_from_Mike/HN/asv_000237.parRes,asv_000237,microbe_from_Mike,HN
0.006077,0.005838,GenVar,microbe_from_Mike/HN/asv_000237.parRes,asv_000237,microbe_from_Mike,HN
0.226095,0.214899,hsq,microbe_from_Mike/HN/asv_000237.parRes,asv_000237,microbe_from_Mike,HN
9.11e-4,7.57e-4,Pi,microbe_from_Mike/HN/asv_000241.parRes,asv_000241,microbe_from_Mike,HN
759.278503,631.305603,NnzSnp,microbe_from_Mike/HN/asv_000241.parRes,asv_000241,microbe_from_Mike,HN
1e-6,2e-6,SigmaSq,microbe_from_Mike/HN/asv_000241.parRes,asv_000241,microbe_from_Mike,HN
-0.136606,0.726801,S,microbe_from_Mike/HN/asv_000241.parRes,asv_000241,microbe_from_Mike,HN
6.88e-4,2.07e-4,ResVar,microbe_from_Mike/HN/asv_000241.parRes,asv_000241,microbe_from_Mike,HN
2.16e-4,1.98e-4,GenVar,microbe_from_Mike/HN/asv_000241.parRes,asv_000241,microbe_from_Mike,HN
0.238689,0.21654,hsq,microbe_from_Mike/HN/asv_000241.parRes,asv_000241,microbe_from_Mike,HN
5.6e-4,5.69e-4,Pi,microbe_from_Mike/HN/asv_000246.parRes,asv_000246,microbe_from_Mike,HN
466.194489,474.37262,NnzSnp,microbe_from_Mike/HN/asv_000246.parRes,asv_000246,microbe_from_Mike,HN
3e-5,5.7e-5,SigmaSq,microbe_from_Mike/HN/asv_000246.parRes,asv_000246,microbe_from_Mike,HN
0.492386,0.807557,S,microbe_from_Mike/HN/asv_000246.parRes,asv_000246,microbe_from_Mike,HN
0.030354,0.00335,ResVar,microbe_from_Mike/HN/asv_000246.parRes,asv_000246,microbe_from_Mike,HN
0.001098,0.001508,GenVar,microbe_from_Mike/HN/asv_000246.parRes,asv_000246,microbe_from_Mike,HN
0.034883,0.047319,hsq,microbe_from_Mike/HN/asv_000246.parRes,asv_000246,microbe_from_Mike,HN
9.17e-4,7.57e-4,Pi,microbe_from_Mike/HN/asv_000251.parRes,asv_000251,microbe_from_Mike,HN
764.767822,631.468933,NnzSnp,microbe_from_Mike/HN/asv_000251.parRes,asv_000251,microbe_from_Mike,HN
2.6e-5,3.8e-5,SigmaSq,microbe_from_Mike/HN/asv_000251.parRes,asv_000251,microbe_from_Mike,HN
0.174897,0.755612,S,microbe_from_Mike/HN/asv_000251.parRes,asv_000251,microbe_from_Mike,HN
0.011424,0.002914,ResVar,microbe_from_Mike/HN/asv_000251.parRes,asv_000251,microbe_from_Mike,HN
0.002651,0.002704,GenVar,microbe_from_Mike/HN/asv_000251.parRes,asv_000251,microbe_from_Mike,HN
0.188244,0.189633,hsq,microbe_from_Mike/HN/asv_000251.parRes,asv_000251,microbe_from_Mike,HN
0.001028,8.74e-4,Pi,microbe_from_Mike/HN/asv_000260.parRes,asv_000260,microbe_from_Mike,HN
857.141907,729.092651,NnzSnp,microbe_from_Mike/HN/asv_000260.parRes,asv_000260,microbe_from_Mike,HN
3.8e-5,7.7e-5,SigmaSq,microbe_from_Mike/HN/asv_000260.parRes,asv_000260,microbe_from_Mike,HN
-0.133165,0.726174,S,microbe_from_Mike/HN/asv_000260.parRes,asv_000260,microbe_from_Mike,HN
0.022249,0.006736,ResVar,microbe_from_Mike/HN/asv_000260.parRes,asv_000260,microbe_from_Mike,HN
0.007109,0.00644,GenVar,microbe_from_Mike/HN/asv_000260.parRes,asv_000260,microbe_from_Mike,HN
0.241857,0.216235,hsq,microbe_from_Mike/HN/asv_000260.parRes,asv_000260,microbe_from_Mike,HN
9.08e-4,7.69e-4,Pi,microbe_from_Mike/HN/asv_000272.parRes,asv_000272,microbe_from_Mike,HN
757.464539,641.581299,NnzSnp,microbe_from_Mike/HN/asv_000272.parRes,asv_000272,microbe_from_Mike,HN
3.1e-5,4.5e-5,SigmaSq,microbe_from_Mike/HN/asv_000272.parRes,asv_000272,microbe_from_Mike,HN
-0.125157,0.767307,S,microbe_from_Mike/HN/asv_000272.parRes,asv_000272,microbe_from_Mike,HN
0.025275,0.006928,ResVar,microbe_from_Mike/HN/asv_000272.parRes,asv_000272,microbe_from_Mike,HN
0.006377,0.006508,GenVar,microbe_from_Mike/HN/asv_000272.parRes,asv_000272,microbe_from_Mike,HN
0.201357,0.203131,hsq,microbe_from_Mike/HN/asv_000272.parRes,asv_000272,microbe_from_Mike,HN
8.05e-4,7.13e-4,Pi,microbe_from_Mike/HN/asv_000281.parRes,asv_000281,microbe_from_Mike,HN
671.745239,594.736267,NnzSnp,microbe_from_Mike/HN/asv_000281.parRes,asv_000281,microbe_from_Mike,HN
1.2e-5,1.9e-5,SigmaSq,microbe_from_Mike/HN/asv_000281.parRes,asv_000281,microbe_from_Mike,HN
-0.141679,0.837425,S,microbe_from_Mike/HN/asv_000281.parRes,asv_000281,microbe_from_Mike,HN
0.011717,0.00349,ResVar,microbe_from_Mike/HN/asv_000281.parRes,asv_000281,microbe_from_Mike,HN
0.002854,0.003308,GenVar,microbe_from_Mike/HN/asv_000281.parRes,asv_000281,microbe_from_Mike,HN
0.19572,0.224946,hsq,microbe_from_Mike/HN/asv_000281.parRes,asv_000281,microbe_from_Mike,HN
6.24e-4,6.79e-4,Pi,microbe_from_Mike/HN/asv_000294.parRes,asv_000294,microbe_from_Mike,HN
519.614685,565.897461,NnzSnp,microbe_from_Mike/HN/asv_000294.parRes,asv_000294,microbe_from_Mike,HN
9e-6,1.2e-5,SigmaSq,microbe_from_Mike/HN/asv_000294.parRes,asv_000294,microbe_from_Mike,HN
0.40921,0.812019,S,microbe_from_Mike/HN/asv_000294.parRes,asv_000294,microbe_from_Mike,HN
0.007758,0.00101,ResVar,microbe_from_Mike/HN/asv_000294.parRes,asv_000294,microbe_from_Mike,HN
4.86e-4,6.63e-4,GenVar,microbe_from_Mike/HN/asv_000294.parRes,asv_000294,microbe_from_Mike,HN
0.058877,0.079427,hsq,microbe_from_Mike/HN/asv_000294.parRes,asv_000294,microbe_from_Mike,HN
9.05e-4,8.34e-4,Pi,microbe_from_Mike/HN/asv_000311.parRes,asv_000311,microbe_from_Mike,HN
755.065308,696.268127,NnzSnp,microbe_from_Mike/HN/asv_000311.parRes,asv_000311,microbe_from_Mike,HN
1e-6,2e-6,SigmaSq,microbe_from_Mike/HN/asv_000311.parRes,asv_000311,microbe_from_Mike,HN
0.255279,0.72894,S,microbe_from_Mike/HN/asv_000311.parRes,asv_000311,microbe_from_Mike,HN
6e-4,1.1e-4,ResVar,microbe_from_Mike/HN/asv_000311.parRes,asv_000311,microbe_from_Mike,HN
7.4e-5,9.2e-5,GenVar,microbe_from_Mike/HN/asv_000311.parRes,asv_000311,microbe_from_Mike,HN
0.110548,0.135394,hsq,microbe_from_Mike/HN/asv_000311.parRes,asv_000311,microbe_from_Mike,HN
7.26e-4,7.01e-4,Pi,microbe_from_Mike/HN/asv_000322.parRes,asv_000322,microbe_from_Mike,HN
605.041687,584.697449,NnzSnp,microbe_from_Mike/HN/asv_000322.parRes,asv_000322,microbe_from_Mike,HN
5.3e-5,6.9e-5,SigmaSq,microbe_from_Mike/HN/asv_000322.parRes,asv_000322,microbe_from_Mike,HN
0.287131,0.756245,S,microbe_from_Mike/HN/asv_000322.parRes,asv_000322,microbe_from_Mike,HN
0.021603,0.003937,ResVar,microbe_from_Mike/HN/asv_000322.parRes,asv_000322,microbe_from_Mike,HN
0.003251,0.003356,GenVar,microbe_from_Mike/HN/asv_000322.parRes,asv_000322,microbe_from_Mike,HN
0.130674,0.133196,hsq,microbe_from_Mike/HN/asv_000322.parRes,asv_000322,microbe_from_Mike,HN
0.001295,9.47e-4,Pi,microbe_from_Mike/HN/asv_000330.parRes,asv_000330,microbe_from_Mike,HN
1080.115356,789.852295,NnzSnp,microbe_from_Mike/HN/asv_000330.parRes,asv_000330,microbe_from_Mike,HN
5.2e-5,8e-5,SigmaSq,microbe_from_Mike/HN/asv_000330.parRes,asv_000330,microbe_from_Mike,HN
-0.132623,0.676101,S,microbe_from_Mike/HN/asv_000330.parRes,asv_000330,microbe_from_Mike,HN
0.008902,0.004424,ResVar,microbe_from_Mike/HN/asv_000330.parRes,asv_000330,microbe_from_Mike,HN
0.008082,0.004466,GenVar,microbe_from_Mike/HN/asv_000330.parRes,asv_000330,microbe_from_Mike,HN
0.474494,0.257059,hsq,microbe_from_Mike/HN/asv_000330.parRes,asv_000330,microbe_from_Mike,HN
6.69e-4,6.72e-4,Pi,microbe_from_Mike/HN/asv_000369.parRes,asv_000369,microbe_from_Mike,HN
557.733704,561.005554,NnzSnp,microbe_from_Mike/HN/asv_000369.parRes,asv_000369,microbe_from_Mike,HN
4.2e-5,6.2e-5,SigmaSq,microbe_from_Mike/HN/asv_000369.parRes,asv_000369,microbe_from_Mike,HN
0.136642,0.769923,S,microbe_from_Mike/HN/asv_000369.parRes,asv_000369,microbe_from_Mike,HN
0.048461,0.008309,ResVar,microbe_from_Mike/HN/asv_000369.parRes,asv_000369,microbe_from_Mike,HN
0.004555,0.006791,GenVar,microbe_from_Mike/HN/asv_000369.parRes,asv_000369,microbe_from_Mike,HN
0.085892,0.126835,hsq,microbe_from_Mike/HN/asv_000369.parRes,asv_000369,microbe_from_Mike,HN
7.69e-4,7.52e-4,Pi,microbe_from_Mike/HN/asv_000370.parRes,asv_000370,microbe_from_Mike,HN
640.581299,626.892578,NnzSnp,microbe_from_Mike/HN/asv_000370.parRes,asv_000370,microbe_from_Mike,HN
8e-6,1.3e-5,SigmaSq,microbe_from_Mike/HN/asv_000370.parRes,asv_000370,microbe_from_Mike,HN
0.110302,0.869333,S,microbe_from_Mike/HN/asv_000370.parRes,asv_000370,microbe_from_Mike,HN
0.016076,0.002525,ResVar,microbe_from_Mike/HN/asv_000370.parRes,asv_000370,microbe_from_Mike,HN
0.001281,0.001954,GenVar,microbe_from_Mike/HN/asv_000370.parRes,asv_000370,microbe_from_Mike,HN
0.073834,0.111335,hsq,microbe_from_Mike/HN/asv_000370.parRes,asv_000370,microbe_from_Mike,HN
7.22e-4,6.46e-4,Pi,microbe_from_Mike/HN/asv_000396.parRes,asv_000396,microbe_from_Mike,HN
602.469543,538.875244,NnzSnp,microbe_from_Mike/HN/asv_000396.parRes,asv_000396,microbe_from_Mike,HN
8e-6,1.1e-5,SigmaSq,microbe_from_Mike/HN/asv_000396.parRes,asv_000396,microbe_from_Mike,HN
0.003889,0.780976,S,microbe_from_Mike/HN/asv_000396.parRes,asv_000396,microbe_from_Mike,HN
0.009122,0.002027,ResVar,microbe_from_Mike/HN/asv_000396.parRes,asv_000396,microbe_from_Mike,HN
0.00132,0.00182,GenVar,microbe_from_Mike/HN/asv_000396.parRes,asv_000396,microbe_from_Mike,HN
0.12641,0.172744,hsq,microbe_from_Mike/HN/asv_000396.parRes,asv_000396,microbe_from_Mike,HN
6.12e-4,6.18e-4,Pi,microbe_from_Mike/HN/asv_000470.parRes,asv_000470,microbe_from_Mike,HN
509.935303,515.663086,NnzSnp,microbe_from_Mike/HN/asv_000470.parRes,asv_000470,microbe_from_Mike,HN
1.3e-5,1.6e-5,SigmaSq,microbe_from_Mike/HN/asv_000470.parRes,asv_000470,microbe_from_Mike,HN
0.36033,0.802799,S,microbe_from_Mike/HN/asv_000470.parRes,asv_000470,microbe_from_Mike,HN
0.011026,0.001496,ResVar,microbe_from_Mike/HN/asv_000470.parRes,asv_000470,microbe_from_Mike,HN
7.68e-4,0.001036,GenVar,microbe_from_Mike/HN/asv_000470.parRes,asv_000470,microbe_from_Mike,HN
0.064998,0.086724,hsq,microbe_from_Mike/HN/asv_000470.parRes,asv_000470,microbe_from_Mike,HN
6.97e-4,6.82e-4,Pi,microbe_from_Mike/HN/asv_000473.parRes,asv_000473,microbe_from_Mike,HN
580.62561,569.291809,NnzSnp,microbe_from_Mike/HN/asv_000473.parRes,asv_000473,microbe_from_Mike,HN
3e-6,5e-6,SigmaSq,microbe_from_Mike/HN/asv_000473.parRes,asv_000473,microbe_from_Mike,HN
0.034512,0.822878,S,microbe_from_Mike/HN/asv_000473.parRes,asv_000473,microbe_from_Mike,HN
0.003974,7.46e-4,ResVar,microbe_from_Mike/HN/asv_000473.parRes,asv_000473,microbe_from_Mike,HN
4.55e-4,6.35e-4,GenVar,microbe_from_Mike/HN/asv_000473.parRes,asv_000473,microbe_from_Mike,HN
0.102655,0.141961,hsq,microbe_from_Mike/HN/asv_000473.parRes,asv_000473,microbe_from_Mike,HN
8.74e-4,7.92e-4,Pi,microbe_from_Mike/HN/asv_000483.parRes,asv_000483,microbe_from_Mike,HN
729.30072,661.208862,NnzSnp,microbe_from_Mike/HN/asv_000483.parRes,asv_000483,microbe_from_Mike,HN
1.3e-5,2.1e-5,SigmaSq,microbe_from_Mike/HN/asv_000483.parRes,asv_000483,microbe_from_Mike,HN
0.347419,0.65794,S,microbe_from_Mike/HN/asv_000483.parRes,asv_000483,microbe_from_Mike,HN
0.007297,0.001193,ResVar,microbe_from_Mike/HN/asv_000483.parRes,asv_000483,microbe_from_Mike,HN
8.37e-4,9.39e-4,GenVar,microbe_from_Mike/HN/asv_000483.parRes,asv_000483,microbe_from_Mike,HN
0.103152,0.114459,hsq,microbe_from_Mike/HN/asv_000483.parRes,asv_000483,microbe_from_Mike,HN
5.5e-4,5.82e-4,Pi,microbe_from_Mike/HN/asv_000487.parRes,asv_000487,microbe_from_Mike,HN
458.528198,484.917725,NnzSnp,microbe_from_Mike/HN/asv_000487.parRes,asv_000487,microbe_from_Mike,HN
